# Model    WH12
# Gamma1   1.3
# Gamma2   2.5
# Gammath  1.35
# alpha0   0.01
# beta0    0.0
# 
# frequency [Hz] 		 sqrt(S(f))
10.0	3.34291501231e-24
10.0004605322	3.34325592895e-24
10.0009210857	3.34359683426e-24
10.0013816603	3.34393772824e-24
10.0018422562	3.34427861086e-24
10.0023028732	3.34461948213e-24
10.0027635115	3.34496034201e-24
10.003224171	3.3453011905e-24
10.0036848517	3.34564202759e-24
10.0041455537	3.34598285326e-24
10.0046062768	3.34632366749e-24
10.0050670212	3.34666447028e-24
10.0055277867	3.34700526161e-24
10.0059885735	3.34734604146e-24
10.0064493816	3.34768680982e-24
10.0069102108	3.34802756669e-24
10.0073710613	3.34836831204e-24
10.007831933	3.34870904587e-24
10.0082928259	3.34904976816e-24
10.00875374	3.34939047889e-24
10.0092146754	3.34973117806e-24
10.009675632	3.35007186566e-24
10.0101366098	3.35041254166e-24
10.0105976088	3.35075320607e-24
10.0110586291	3.35109385886e-24
10.0115196706	3.35143450002e-24
10.0119807334	3.35177512955e-24
10.0124418174	3.35211574743e-24
10.0129029226	3.35245635365e-24
10.013364049	3.3527969482e-24
10.0138251967	3.35313753106e-24
10.0142863656	3.35347810223e-24
10.0147475558	3.3538186617e-24
10.0152087672	3.35415920944e-24
10.0156699998	3.35449974546e-24
10.0161312537	3.35484026974e-24
10.0165925288	3.35518078227e-24
10.0170538252	3.35552128303e-24
10.0175151428	3.35586177203e-24
10.0179764817	3.35620224925e-24
10.0184378418	3.35654271467e-24
10.0188992231	3.35688316829e-24
10.0193606257	3.3572236101e-24
10.0198220496	3.35756404009e-24
10.0202834947	3.35790445824e-24
10.020744961	3.35824486456e-24
10.0212064486	3.35858525902e-24
10.0216679575	3.35892564162e-24
10.0221294876	3.35926601235e-24
10.022591039	3.35960637121e-24
10.0230526116	3.35994671817e-24
10.0235142054	3.36028705323e-24
10.0239758206	3.36062737639e-24
10.024437457	3.36096768763e-24
10.0248991146	3.36130798695e-24
10.0253607935	3.36164827434e-24
10.0258224937	3.36198854978e-24
10.0262842151	3.36232881327e-24
10.0267459578	3.36266906481e-24
10.0272077218	3.36300930437e-24
10.027669507	3.36334953197e-24
10.0281313135	3.36368974758e-24
10.0285931413	3.36402995119e-24
10.0290549903	3.36437014281e-24
10.0295168606	3.36471032243e-24
10.0299787522	3.36505049003e-24
10.0304406651	3.36539064561e-24
10.0309025992	3.36573078916e-24
10.0313645546	3.36607092067e-24
10.0318265312	3.36641104015e-24
10.0322885292	3.36675114757e-24
10.0327505484	3.36709124294e-24
10.0332125889	3.36743132624e-24
10.0336746507	3.36777139747e-24
10.0341367337	3.36811145662e-24
10.0345988381	3.3684515037e-24
10.0350609637	3.36879153868e-24
10.0355231106	3.36913156156e-24
10.0359852788	3.36947157235e-24
10.0364474682	3.36981157102e-24
10.036909679	3.37015155758e-24
10.037371911	3.37049153203e-24
10.0378341643	3.37083149434e-24
10.038296439	3.37117144453e-24
10.0387587349	3.37151138258e-24
10.039221052	3.37185130848e-24
10.0396833905	3.37219122224e-24
10.0401457503	3.37253112385e-24
10.0406081314	3.3728710133e-24
10.0410705337	3.37321089058e-24
10.0415329574	3.3735507557e-24
10.0419954024	3.37389060865e-24
10.0424578686	3.37423044942e-24
10.0429203562	3.37457027801e-24
10.043382865	3.37491009441e-24
10.0438453952	3.37524989862e-24
10.0443079466	3.37558969064e-24
10.0447705194	3.37592947046e-24
10.0452331134	3.37626923808e-24
10.0456957288	3.37660899349e-24
10.0461583654	3.37694873669e-24
10.0466210234	3.37728846768e-24
10.0470837027	3.37762818645e-24
10.0475464033	3.377967893e-24
10.0480091252	3.37830758732e-24
10.0484718684	3.37864726942e-24
10.0489346329	3.37898693929e-24
10.0493974187	3.37932659692e-24
10.0498602258	3.37966624232e-24
10.0503230543	3.38000587548e-24
10.0507859041	3.38034549639e-24
10.0512487751	3.38068510506e-24
10.0517116675	3.38102470148e-24
10.0521745813	3.38136428566e-24
10.0526375163	3.38170385758e-24
10.0531004726	3.38204341725e-24
10.0535634503	3.38238296466e-24
10.0540264493	3.38272249981e-24
10.0544894696	3.3830620227e-24
10.0549525113	3.38340153333e-24
10.0554155742	3.3837410317e-24
10.0558786585	3.3840805178e-24
10.0563417642	3.38441999164e-24
10.0568048911	3.3847594532e-24
10.0572680394	3.3850989025e-24
10.057731209	3.38543833953e-24
10.0581943999	3.38577776428e-24
10.0586576122	3.38611717676e-24
10.0591208458	3.38645657697e-24
10.0595841007	3.38679596491e-24
10.060047377	3.38713534057e-24
10.0605106746	3.38747470395e-24
10.0609739935	3.38781405506e-24
10.0614373338	3.3881533939e-24
10.0619006954	3.38849272045e-24
10.0623640784	3.38883203473e-24
10.0628274827	3.38917133674e-24
10.0632909083	3.38951062647e-24
10.0637543553	3.38984990392e-24
10.0642178236	3.39018916909e-24
10.0646813133	3.39052842199e-24
10.0651448243	3.39086766262e-24
10.0656083567	3.39120689097e-24
10.0660719104	3.39154610704e-24
10.0665354854	3.39188531085e-24
10.0669990818	3.39222450238e-24
10.0674626996	3.39256368164e-24
10.0679263387	3.39290284863e-24
10.0683899991	3.39324200335e-24
10.0688536809	3.39358114581e-24
10.0693173841	3.39392027599e-24
10.0697811086	3.39425939392e-24
10.0702448545	3.39459849958e-24
10.0707086217	3.39493759298e-24
10.0711724103	3.39527667412e-24
10.0716362202	3.395615743e-24
10.0721000516	3.39595479963e-24
10.0725639042	3.396293844e-24
10.0730277782	3.39663287612e-24
10.0734916736	3.396971896e-24
10.0739555904	3.39731090363e-24
